8477457,2021,Zach Fucale,WSH,G,5on4,4,1045.0,0.05,0.0,3.0,0.08,0.0,0.31,0.0,2.06,1.0,0.33,0.0,0.8,0.0,1.71,3.0,0.05,3.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477968,2021,Alex Nedeljkovic,DET,G,other,36,2913.0,12.11,10.0,94.0,4.6,6.0,10.28,15.0,57.75,57.0,1.23,0.0,28.19,22.0,17.92,19.0,10.77,27.0,28.0,20.0,1.11,3.71,7.29,0.0,3.0,7.0,19.0,0.0,0.0
8477968,2021,Alex Nedeljkovic,DET,G,all,36,120973.0,101.98,101.0,1898.0,74.83,66.0,230.41,249.0,1038.44,1083.0,29.9,28.0,568.25,429.0,413.26,549.0,97.8,1002.0,319.0,101.0,29.89,39.35,32.74,35.0,34.0,32.0,476.0,0.0,0.0
8477968,2021,Alex Nedeljkovic,DET,G,5on5,36,100540.0,74.56,73.0,1546.0,57.87,54.0,192.86,209.0,838.87,875.0,23.9,22.0,463.94,345.0,338.08,448.0,72.19,836.0,255.0,63.0,24.93,31.36,18.27,30.0,25.0,18.0,392.0,0.0,0.0
8477968,2021,Alex Nedeljkovic,DET,G,4on5,36,8614.0,12.51,15.0,215.0,10.72,6.0,22.87,25.0,112.35,115.0,0.82,0.0,65.59,56.0,36.6,50.0,12.04,109.0,28.0,15.0,3.06,3.25,6.21,5.0,4.0,6.0,63.0,0.0,0.0
8477968,2021,Alex Nedeljkovic,DET,G,5on4,36,8906.0,2.59,2.0,40.0,1.5,0.0,3.99,0.0,27.19,33.0,3.85,6.0,9.49,5.0,19.54,31.0,2.59,28.0,7.0,3.0,0.74,0.88,0.97,0.0,1.0,1.0,2.0,0.0,0.0
8480925,2021,Pavel Francouz,COL,G,other,9,1315.0,4.18,2.0,44.0,1.94,4.0,4.53,6.0,24.53,25.0,0.56,0.0,14.46,10.0,7.99,9.0,4.03,15.0,14.0,5.0,0.5,1.75,1.93,0.0,1.0,1.0,10.0,0.0,0.0
8480925,2021,Pavel Francouz,COL,G,all,9,30160.0,21.87,20.0,440.0,16.59,15.0,55.45,71.0,239.09,252.0,9.06,9.0,137.41,94.0,97.47,128.0,21.44,249.0,71.0,17.0,6.59,8.5,6.78,8.0,6.0,6.0,103.0,0.0,0.0
8480925,2021,Pavel Francouz,COL,G,5on5,9,24091.0,12.5,11.0,339.0,11.93,7.0,44.69,60.0,183.4,194.0,6.98,6.0,106.44,71.0,78.21,105.0,12.33,205.0,50.0,5.0,5.37,5.8,1.33,8.0,3.0,0.0,79.0,0.0,0.0
8480925,2021,Pavel Francouz,COL,G,4on5,9,1914.0,4.54,6.0,45.0,2.34,4.0,5.09,3.0,24.99,26.0,0.19,0.0,14.13,12.0,7.1,9.0,4.42,22.0,6.0,6.0,0.59,0.8,3.15,0.0,2.0,4.0,11.0,0.0,0.0
8480925,2021,Pavel Francouz,COL,G,5on4,9,2840.0,0.65,1.0,12.0,0.39,0.0,1.14,2.0,6.17,7.0,1.33,3.0,2.38,1.0,4.17,5.0,0.65,7.0,1.0,1.0,0.13,0.15,0.37,0.0,0.0,1.0,3.0,0.0,0.0
